State |City|MSA|Seattle|NewYork|San Francisco|Washington DC||||
Alabama |Birmingham|13820|0|1|0|1||||
Alaska|Anchorage|11260|4|9|1|0|||| 
Alberta, Canada|Calgary|||||||||
Alberta, Canada|Edmonton|||||||||
Arizona |Greater Phoenix|38060|5|4|4|2||||
British Columbia, Canda|Vancouver|||||||||
California|Cal Poly Pomona-Fairplex-Pomona|11244||||||||
California|Concord-Freemont-Oakland-Richmond-San Francisco|36084||||||||
California|Fresno|23420|1|0|1|0||||
California|Irvine|11244|3|1|4|0||||
California|Long Beach-Huntington Beach|11244|1|1|1|0||||
California|Los Angeles|11244|7|5|8|7||||
California|Sacramento|40900|3|1|2|1||||
California|San Diego-Chula Vista|41740|5|3|5|1||||
California|San Jose|41940|3|2|1|0||||
Chihuahua, Mexico||||||||||
Colorado|Denver|19740|7|5|5|5||||
Connecticut|Bridgeport-New Haven|71950|0|1|0|1||||
Connecticut|Danbury|72850||||||||
Connecticut|Greater Stamford|71950|0|1|0|1||||
Connecticut|Greater Hartford|73450|0|1|1|5||||
Connecticut|Waterbury|78700|0|1|1|5||||
Delaware|Fairfax|72400|2|5|4|3||||
Delaware|Wilmington|48864|2|5|4|3||||
Florida|Manatee-Sarasota|35840||||||||
Florida|Orlando|36740|2|6|3|7||||
Florida|South Florida (Miami-Dade, Broward, Palm Beach)|33124|1|7|2|4||||
Florida|Tampa-St. Petersburg|45300|1|6|1|5||||
Georgia|Metro Atlanta|12060|3|7|3|7||||
Georgia|Stonecrest|12060|3|7|3|7||||
||||||||||
Hidalgo, Mexico||||||||||
Idaho||||||||||
Illinois|Chicago|16974|5|9|4|6||||
Indiana|Gary-Hammond|23844||||||||
Indiana|Indianapolis-Fishers|26900|2|5|3|2||||
Iowa|Greater Des Moines|19780|0|1|1|1||||
Kansas|Kansas City|28140|1|0|2|0||||
Kentucky|Louisville|31140|1|6|2|4||||
Louisiana||||||||||
Maine|Brunswick||0|4|0|2||||
Maine|Scarborough||0|4|0|2||||
Manitoba, Canada|Winnipeg||0|0|0|0||||
Maryland|Baltimore|12580|3|2|3|0||||
Maryland|Charles County|47894|3|2|3|0||||
Maryland|Montgomery County|43524|3|2|3|0||||
Maryland|Prince George&rsquo;s County| |3|2|3|0||||
Massachusetts|Boston|14460|3|7|5|5||||
Massachusetts|Everett|78100|3|7|5|5||||
Massachusetts|Fall River|39300|3|7|5|5||||
Massachusetts|Foxborough|71654|3|7|5|5||||
Massachusetts|Gardner|74500|3|7|5|5||||
Massachusetts|Holyoke|78100|3|7|5|5||||
Massachusetts|Lawrence-Haverhill-Andover-Methuen-North Andover|74204|3|7|5|5||||
Massachusetts|Lee||3|7|5|5||||
Massachusetts|Leominster|74500|3|7|5|5||||
Massachusetts|Lowell-Billerica-Tewksbury|74804|3|7|5|5||||
Massachusetts|Lynn||3|7|5|5||||
Massachusetts|Marlborough|73104|3|7|5|5||||
Massachusetts|New Bedford|75550|3|7|5|5||||
Massachusetts|Northborough|79600|3|7|5|5||||
||||||||||
Massachusetts|Peabody|76524|3|7|5|5||||
Massachusetts|Pittsfield|76600||||||||
Massachusetts|Quincy|71654|3|7|5|5||||
Massachusetts|Somerville|73654|3|7|5|5||||
Massachusetts|Springfield|78100|3|7|5|5||||
Massachusetts|Taunton|78254|3|7|5|5||||
Massachusetts|Union Point-Abington-Rockland-Weymouth|71654|3|7|5|5||||
Massachusetts|Waltham|71654|3|7|5|5||||
Massachusetts|Westborough|79600|3|7|5|5||||
Massachusetts|Worcester|79600|0|1|0|0||||
Michigan|Detroit-Windsor (Canada and Michigan)||3|5|2|5||||
Michigan|Grand Rapids|34340|3|5|2|5||||
Minnesota|Minneapolis-Saint Paul|33460|4|6|5|6||||
Mississippi||||||||||
Missouri|Kansas City|28140|3|2|2|4||||
Missouri|St. Louis|41180|2|4|6|4||||
Missouri||||||||||
Nebraska|Omaha|36540|1|2|2|2||||
Nevada|Las Vegas|29820|5|5|6|3||||
New Hampshire|Londonderry|75404|0|1|0|1||||
New Hampshire|Manchester|74950|0|1|0|1||||
New Jersey|Atlantic City|12100|0|1|0|1||||
New Jersey|Bayonne||2||3|3||||
New Jersey|Camden County|15804|0|0|0|1||||
New Jersey|Jersey City|35614|2|0|3|3||||
New Jersey|New Brunswick||2|0|3|3||||
New Jersey|Newark|35084|2|0|3|3||||
New Jersey|Trenton|45940|0|0|0|0||||
New Jersey|West Windsor-Mercer County||0|0|0|0||||
New Mexico|El Paso-Borderplex Alliance|||||||||
New Mexico|Santa Teresa-San Jeronimo|||||||||
||||||||||
New York|Albany|10580|0|0|0|2||||
New York|Buffalo-Rochester|40380|0|0|0|2||||
New York|Mount Vernon|35620|4|0|5|6||||
New York|New Rochelle|35620|4|0|5|6||||
New York|New York City-Long Island-Hudson Valley|35620|4|0|5|6||||
New York|Syracuse-Utica|45060|0|3|0|2||||
New York|Westchester|35614|0|3|0|2||||
North Carolina|Charlotte-York County|16740|1|6|1|5||||
North Carolina|Greensboro|24660|0|2|0|2||||
North Carolina|Hickory|25860|1|6|1|5||||
North Carolina|Raleigh|39580|2|4|3|1||||
Nova Scotia, Canada||||||||||
Ohio|Cincinnati-Dayton|19380|1|6|2|4||||
Ohio|Cleveland|17460|1|5|1|4||||
Ohio|Columbus|18140|0|4|0|3||||
Ohio|Toledo-Maumee|45780|0|1|1|1||||
Oklahoma|Oklahoma City|36420|1|0|1|1||||
Oklahoma|Tulsa|46140|0|1|1|1||||
Ontario, Canada|Detroit-Windsor||0|0|0|0||||
Ontario, Canada|Hamilton||1|6|1|4||||
Ontario, Canada|Ottawa-Gatineau|||||||||
Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|||||||||
Ontario, Canada|Simcoe County||0|0|0|0||||
Ontario, Canada|Toronto||1|6|1|4||||
Oregon|Portland|38900|3|3|5|2||||
Pennsylvania|Delaware County|34620|0|1|0|1||||
Pennsylvania|Harrisburg|25420|0|0|0|1||||
Pennsylvania|Lehigh Valley|10900|1|1|0|1||||
Pennsylvania|Philadelphia|37964|2|5|4|3||||
Pennsylvania|Pittsburgh|38300|1|5|1|3||||
Pennsylvania|Northeast Pennsylvania|||||||||
||||||||||
Puerto Rico|||0|1|0|2||||
Quebec, Canada|Greater Montreal|||||||||
Mexico|Quer&eacute;taro|||||||||
Rhode Island|East Providence|77200|0|0|0|3||||
Rhode Island|North Kingstown|77200|0|0|0|3||||
Rhode Island|Pawtucket-Central Falls|77200|0|0|0|3||||
Rhode Island|Providence|77200|0|0|0|3||||
Rhode Island|Richmond|77200|0|0|0|3||||
Rhode Island|Warwick|77200|0|0|0|3||||
Rhode Island|Woonsocket|77200|0|0|0|3||||
South Carolina|Greenville-Spartanburg|24860|0|1|0|2||||
Tennessee|Knoxville|28940|0|1|0|2||||
Tennessee|Memphis|32820|1|2|1|1||||
Tennessee|Nashville|34980|0|1|1|0||||
Texas|Austin|12420|3|3|5|4||||
Texas|Dallas-Fort Worth|19124|3|7|3|2||||
Texas|Frisco||3|7|3|2||||
Texas|Houston|26420|3|3|1|4||||
Texas|Milam County|||||||||
Utah||||||||||
Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894|0|3|0|1||||
Virginia|Great Richmond|40060|0|3|0|1||||
Virginia|Hampton Roads|47260||||||||
Virginia|Northern Virginia||3|3|3|0||||
Washington|Pudget Sound Region||0|4|5|4||||
Washington|Tacoma-Pierce County|42660|0|4|5|4||||
Washington, DC||47894|1|6|2|0||||
Wisconsin|Madison|31540|3|2|1|1||||
Wisconsin|Milwaukee|33340|3|2|1|1||||
||||||||||
||||||||||
||||||||||
